[2025-10-29 14:30:09.692] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:09.693] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:09.693] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.6212e533-9924-4f0d-8c92-984562972a3a.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:11.548] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:11.548] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:11.548] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.ffaf5201-2e0f-4095-9e4c-a5710d8f85f9.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.179] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:12.180] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.180] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.efc3727d-2dd4-4363-80f2-59db286fa7a5.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.296] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:12.296] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.296] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.feafaa73-e299-4381-aed6-f5f78dcd8468.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.426] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:12.426] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.426] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.d245e5d2-0bab-4782-a5b9-6362b6d0a3aa.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.525] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:12.525] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:12.525] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.1536a23b-e478-4b4c-881c-5590d565625f.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:13.166] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:13.166] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:13.167] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.11a74e0a-3ab6-42e1-ae6a-b8dbeb7fcc1d.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:13.277] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
